epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.5563,1.60993,4.33603,2.05596,0,0,0,0,0.73163,4.03046,1.20819,8.085e-05,8.085e-05,8.085e-05
2,22.1324,1.01938,4.09986,1.48079,0,0,0,0,0.71994,3.96835,1.11062,0.000164894,0.000164894,0.000164894
3,30.4299,0.96857,3.91211,1.36955,0.03345,0.1938,0.06488,0.05606,0.81322,3.84597,1.19454,0.000248268,0.000248268,0.000248268
4,38.7118,0.92465,3.67574,1.35818,0.04351,0.45719,0.12448,0.09224,0.80237,3.47914,1.26364,0.000330971,0.000330971,0.000330971
5,47.7746,0.97271,3.48988,1.39504,0.62767,0.07737,0.14954,0.11494,0.86241,3.00355,1.34531,0.000378902,0.000378902,0.000378902
6,55.9082,0.89905,3.26332,1.37658,0.33604,0.25954,0.17333,0.12756,0.87701,2.60828,1.30022,0.000377377,0.000377377,0.000377377
7,65.789,0.93584,3.0725,1.44243,0.49673,0.24612,0.24318,0.20502,0.78188,2.33514,1.16063,0.000375852,0.000375852,0.000375852
8,73.2362,0.94091,2.84865,1.33279,0.7078,0.20891,0.26823,0.19228,0.98741,2.22556,1.37735,0.000374328,0.000374328,0.000374328
9,82.2654,0.91921,2.71764,1.35856,0.45095,0.35801,0.32482,0.24587,0.83455,2.35578,1.20039,0.000372803,0.000372803,0.000372803
10,89.743,0.97394,2.633,1.29639,0.50957,0.36868,0.37489,0.29716,0.86652,1.8052,1.34285,0.000371279,0.000371279,0.000371279
11,99.0136,0.9929,2.4221,1.33744,0.6676,0.37707,0.43782,0.34864,0.7609,1.76835,1.17146,0.000369754,0.000369754,0.000369754
12,106.425,0.95824,2.28925,1.25029,0.65027,0.44729,0.51452,0.41098,0.78298,1.9166,1.16915,0.000368229,0.000368229,0.000368229
13,115.485,0.92672,2.13967,1.32562,0.67722,0.41825,0.51359,0.40263,0.72847,1.60316,1.14705,0.000366705,0.000366705,0.000366705
14,124.523,0.86528,2.01468,1.34348,0.61285,0.4412,0.5448,0.44128,0.70597,1.60308,1.1112,0.00036518,0.00036518,0.00036518
15,134.239,0.89246,2.0165,1.28417,0.62634,0.469,0.54322,0.43133,0.75487,1.39549,1.18198,0.000363656,0.000363656,0.000363656
16,141.099,0.85735,1.8504,1.28555,0.46716,0.61994,0.55901,0.44318,0.75503,1.28597,1.13177,0.000362131,0.000362131,0.000362131
17,150.889,0.83138,1.81987,1.28786,0.63456,0.61249,0.62911,0.50506,0.77089,1.22046,1.25993,0.000360606,0.000360606,0.000360606
18,157.988,0.8813,1.7748,1.27439,0.61216,0.60298,0.64385,0.51742,0.72709,1.15769,1.12579,0.000359082,0.000359082,0.000359082
19,167.374,0.85005,1.68474,1.28809,0.67167,0.59967,0.61821,0.50315,0.7272,1.25171,1.13624,0.000357557,0.000357557,0.000357557
20,174.654,0.85737,1.71574,1.25173,0.74655,0.58203,0.66374,0.53081,0.71063,1.08707,1.08298,0.000356033,0.000356033,0.000356033
21,183.607,0.8001,1.56009,1.25741,0.76527,0.65331,0.7274,0.59751,0.69517,0.98705,1.08803,0.000354508,0.000354508,0.000354508
22,191.287,0.78195,1.52545,1.27713,0.61568,0.64933,0.67944,0.55408,0.65431,1.15171,1.03396,0.000352983,0.000352983,0.000352983
23,199.859,0.85274,1.5784,1.24683,0.75205,0.61957,0.69221,0.55795,0.64719,0.99394,1.01425,0.000351459,0.000351459,0.000351459
24,207.69,0.85039,1.52822,1.23526,0.84739,0.71411,0.79802,0.63698,0.71468,0.83487,1.13719,0.000349934,0.000349934,0.000349934
25,216.269,0.79758,1.46407,1.25642,0.81434,0.72758,0.7975,0.6719,0.64012,0.86076,0.99798,0.00034841,0.00034841,0.00034841
26,224.094,0.74027,1.40259,1.21184,0.73234,0.7589,0.79266,0.65287,0.6489,0.81183,0.98688,0.000346885,0.000346885,0.000346885
27,232.548,0.77759,1.38169,1.21241,0.7875,0.72498,0.79467,0.64441,0.66368,0.90164,0.9916,0.00034536,0.00034536,0.00034536
28,240.397,0.77637,1.38081,1.24998,0.83656,0.72703,0.82087,0.66182,0.67367,0.83335,1.01284,0.000343836,0.000343836,0.000343836
29,248.502,0.78561,1.37317,1.2626,0.78591,0.71373,0.78482,0.64061,0.67929,1.00645,1.06416,0.000342311,0.000342311,0.000342311
30,256.589,0.81399,1.35351,1.24489,0.74083,0.80227,0.83127,0.68028,0.70656,0.78425,1.13146,0.000340787,0.000340787,0.000340787
31,264.606,0.79381,1.2401,1.20589,0.8604,0.79306,0.86079,0.70706,0.63517,0.72228,0.97849,0.000339262,0.000339262,0.000339262
32,273.166,0.74845,1.24617,1.2288,0.77214,0.81456,0.85524,0.70761,0.63004,0.72088,1.00359,0.000337737,0.000337737,0.000337737
33,281.179,0.78269,1.28727,1.22015,0.81316,0.87947,0.89191,0.73389,0.62541,0.73142,1.00257,0.000336213,0.000336213,0.000336213
34,289.738,0.74402,1.20472,1.20781,0.86722,0.86145,0.90201,0.73888,0.64509,0.66204,1.00411,0.000334688,0.000334688,0.000334688
35,297.626,0.73463,1.15891,1.23508,0.86263,0.84777,0.877,0.72549,0.6265,0.6841,0.95854,0.000333164,0.000333164,0.000333164
36,306.064,0.7316,1.14692,1.21551,0.87675,0.87912,0.92843,0.75604,0.63216,0.65486,0.9774,0.000331639,0.000331639,0.000331639
37,313.833,0.73009,1.17964,1.22127,0.84313,0.89006,0.91868,0.74646,0.65226,0.64763,1.01179,0.000330114,0.000330114,0.000330114
38,322.583,0.72761,1.16103,1.20687,0.79173,0.89822,0.90096,0.70589,0.71364,0.64998,1.08635,0.00032859,0.00032859,0.00032859
39,330.275,0.71951,1.10147,1.20551,0.8699,0.88349,0.92345,0.74368,0.65732,0.63623,1.01775,0.000327065,0.000327065,0.000327065
40,338.881,0.72048,1.09488,1.17681,0.89095,0.8645,0.91208,0.73799,0.65396,0.66313,0.9866,0.000325541,0.000325541,0.000325541
41,346.671,0.70716,1.0231,1.15315,0.84649,0.85202,0.89568,0.72333,0.66249,0.66965,1.01408,0.000324016,0.000324016,0.000324016
42,355.265,0.7173,1.05969,1.17078,0.85384,0.88963,0.92421,0.74221,0.69376,0.61724,1.08912,0.000322491,0.000322491,0.000322491
43,362.886,0.72333,1.02782,1.15424,0.86121,0.8832,0.93111,0.7262,0.71293,0.66676,1.04893,0.000320967,0.000320967,0.000320967
44,371.881,0.67612,1.04807,1.19841,0.89566,0.92316,0.94617,0.76398,0.63814,0.58027,0.9699,0.000319442,0.000319442,0.000319442
